,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
11762,552230,Doomsday Survival:Training,CrazyAi,CrazyAi,7584,2016,10000.0,8,0.833333333333333,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
11763,552240,Fancy Trangram VR,<U+54C8><U+89C6><U+5947><U+79D1><U+6280>,<U+54C8><U+89C6><U+5947><U+79D1><U+6280>,857,2016,10000.0,5,0.7777777777777779,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11764,552270,Primitive Road,MoMo Games,MoMo Games,857,2016,10000.0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11765,552280,<U+6E38><U+9B42>2-you're the only one- / Tayutama 2-you're the only one-,Lump of Sugar;HIKARI FIELD,HIKARI FIELD,30152,2016,35000.0,1351,0.979418026969482,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11766,552300,Soldier Sortie :VR Agent 006,"Shandong Jerei Digital Technology Co.,LTD.","Shandong Jerei Digital Technology Co.,LTD.",16264,2016,10000.0,1,0.5333333333333329,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
11767,552310,Anguished,Forrest Keel,Forrest Keel,857,2016,10000.0,-2,0.375,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11768,552330,"Happy Birthday, Bernard",Olly Whillans,Olly Whillans,4329,2016,10000.0,1,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11769,552340,Danger Room,Actually Sane Studios,Actually Sane Studios,5197,2016,10000.0,-1,0.33333333333333304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11770,552350,Unhappy Ever After,Warped Tales,Warped Tales,857,2017,10000.0,7,0.64,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11771,552370,Riders of Asgard,Gobbo Games,Gobbo Games,6282,2017,10000.0,13,0.933333333333333,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11772,552380,[ R.U.M.A ],Jonathan Bartram;Thomas Bartram,Jonathan Bartram;Thomas Bartram,857,2016,10000.0,5,0.857142857142857,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11773,552390,Druid,Blazing Planet Studio,Blazing Planet Studio,2159,2017,35000.0,38,0.806451612903226,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11774,552400,Sweep'n'Sweep,SweepBros,SweepBros,2702,2018,10000.0,15,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11775,552410,Project Abyss,Tall Story Studios;Prey Interactive,Prey Interactive,4329,2016,10000.0,9,0.576271186440678,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
11776,552440,The Talos Principle VR,Croteam VR,Devolver Digital;Croteam Publishing,32539,2017,35000.0,272,0.873626373626374,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11777,552450,Serious Sam VR: The First Encounter,Croteam VR,Devolver Digital;Croteam,32539,2017,35000.0,275,0.842892768079801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11778,552460,Serious Sam VR: The Second Encounter,Croteam VR,Devolver Digital;Croteam,32539,2017,10000.0,76,0.8518518518518521,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11779,552500,Warhammer: Vermintide 2,Fatshark,Fatshark,25812,2018,3500000.0,14173,0.7456751603397471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
